time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Bahia,Internacional,qua.,19:00,1.43,2.65,403
Atlético-MG,Ceará,sáb.,16:00,1.35,3.0,342
Vitória,Corinthians,sáb.,16:00,2.05,1.7,336
Fluminense,Internacional,sáb.,17:30,1.44,2.63,346
Sport,Mirassol,sáb.,18:30,1.88,1.84,311
Fortaleza,Flamengo,sáb.,19:30,3.9,1.22,297
São Paulo,Bahia,sáb.,21:30,1.43,2.65,329
Botafogo,Santos,dom.,16:00,1.3,3.2,327
Grêmio,Juventude,dom.,16:00,1.21,4.0,353
Bragantino,Vasco,dom.,18:30,1.65,2.1,338
Palmeiras,Cruzeiro,dom.,20:30,1.23,3.8,342
Fluminense,Ceará,29 de out.,19:00,1.22,3.85,343
Cruzeiro,Vitória,1 de nov.,16:00,1.13,5.2,324
Santos,Fortaleza,1 de nov.,16:00,1.33,3.1,308
Mirassol,Botafogo,1 de nov.,18:00,1.58,2.25,311
Flamengo,Sport,1 de nov.,21:00,1.04,10.0,336
Bahia,Bragantino,2 de nov.,16:00,1.29,3.3,337
Ceará,Fluminense,2 de nov.,16:00,1.83,1.89,346
Corinthians,Grêmio,2 de nov.,16:00,1.32,3.1,340
Internacional,Atlético-MG,2 de nov.,18:30,1.37,2.9,332
Juventude,Palmeiras,2 de nov.,18:30,5.3,1.12,361
Vasco,São Paulo,2 de nov.,20:30,1.53,2.38,323
