time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Bragantino,Corinthians,qua.,19:00,2.45,3.15,2.95,434
Sport,Juventude,qua.,19:00,1.73,3.65,4.70,416
Vitória,Internacional,qua.,19:00,2.38,3.25,3.00,376
Botafogo,Vasco,qua.,19:30,1.84,3.60,4.10,392
Atlético-MG,Bahia,qua.,20:00,2.15,3.30,3.35,450
Grêmio,Cruzeiro,qua.,20:00,3.10,3.25,2.30,389
São Paulo,Flamengo,qua.,21:30,4.10,3.25,1.97,359
Fluminense,Mirassol,qui.,19:30,1.85,3.35,4.50,338
Ceará,Fortaleza,qui.,20:00,2.28,3.20,3.20,306
Palmeiras,Santos,qui.,21:30,1.38,4.50,8.50,351
Sport,Atlético-MG,sáb.,16:00,2.80,3.15,2.60,364
Vasco,Juventude,sáb.,18:00,1.38,4.60,8.00,357
Internacional,Bahia,sáb.,18:30,2.18,3.25,3.35,326
São Paulo,Bragantino,sáb.,21:00,1.72,3.40,5.25,339
Corinthians,Ceará,dom.,16:00,1.66,3.45,5.75,342
Cruzeiro,Fluminense,dom.,16:00,1.89,3.25,4.40,324
Vitória,Botafogo,dom.,16:00,3.10,3.20,2.33,314
Flamengo,Santos,dom.,18:30,1.32,5.00,10.00,329
Fortaleza,Grêmio,dom.,20:30,2.08,3.20,3.65,341
Mirassol,Palmeiras,dom.,20:30,3.55,3.20,2.14,343
