time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Palmeiras,Bragantino,qua.,19:00,1.32,5.00,9.50,332
Botafogo,Flamengo,qua.,19:30,3.55,3.25,2.12,318
Mirassol,Internacional,qua.,20:00,2.14,3.35,3.35,300
Sport,Ceará,qua.,20:00,2.33,3.15,3.15,306
Atlético-MG,Cruzeiro,qua.,21:30,2.75,3.00,2.70,325
Fortaleza,Vasco,qua.,21:30,2.20,3.30,3.25,307
Santos,Corinthians,qua.,21:30,2.20,3.10,3.55,284
Grêmio,São Paulo,qui.,19:00,2.70,3.20,2.70,291
Fluminense,Juventude,qui.,21:30,1.41,4.40,8.00,362
Vitória,Bahia,qui.,21:30,2.95,3.20,2.45,309
Corinthians,Atlético-MG,sáb.,18:30,2.02,3.20,3.90,327
Internacional,Sport,sáb.,18:30,1.54,4.00,6.00,310
Cruzeiro,Fortaleza,sáb.,21:00,1.55,3.95,6.00,310
Ceará,Botafogo,19 de out.,16:00,2.70,3.05,2.75,319
Flamengo,Palmeiras,19 de out.,16:00,1.89,3.40,4.20,328
Mirassol,São Paulo,19 de out.,16:00,2.43,3.20,2.95,316
Bahia,Grêmio,19 de out.,20:30,1.85,3.50,4.20,303
Juventude,Bragantino,20 de out.,19:00,2.65,3.10,2.75,325
Vasco,Fluminense,20 de out.,19:30,2.75,3.25,2.55,334
Santos,Vitória,20 de out.,21:30,1.70,3.65,5.00,318
